"title","bundle.x","fanRating.x"
"clarinet_waltz_slow_sftv","The Blue-Pinkerton Years",4.35
"cleopatra","EWBAITE",4.48
"cleopatra_5","EWBAITE",3
"cleopatra_v10","EWBAITE",3.92
"cleopatra_v11","EWBAITE",3.8
"cleopatra_v12","EWBAITE",4.11
"cleopatra_v12_1","EWBAITE",3.92
"cleopatra_v14","EWBAITE",4
"cleopatra_v15","EWBAITE",4.25
"cleopatra_v16","EWBAITE",4.45
"cleopatra_v17","EWBAITE",3.83
"cleopatra_v18","EWBAITE",3.67
"cleopatra_v19","EWBAITE",4.5
"cleopatra_v2","EWBAITE",2.67
"cleopatra_v20_no_bridge","EWBAITE",2.83
"cleopatra_v21","EWBAITE",4
"cleopatra_v22","EWBAITE",4.12
"cleopatra_v23_verse_chords","EWBAITE",4.12
"cleopatra_v24_og","EWBAITE",3.62
"cleopatra_v25","EWBAITE",3.5
"cleopatra_v26","EWBAITE",3.62
"cleopatra_v27","EWBAITE",4.25
"cleopatra_v28","EWBAITE",3.44
"cleopatra_v29","EWBAITE",4.56
"cleopatra_v3","EWBAITE",3
"cleopatra_v33","EWBAITE",4.25
"cleopatra_v4","EWBAITE",3.4
"cleopatra_v7","EWBAITE",4.18
"cleopatra_v8","EWBAITE",3.88
"cleopatra_v9","EWBAITE",4.42
"cockroach_rough_7_aug_9","EWBAITE",4.77
"coda","The Pacific Daydream Black Years",3.9
"coda_2","The White Years",3.57
"codependent_v10","EWBAITE",4.59
"codependent_v11_slower","EWBAITE",4.08
"codependent_v12","EWBAITE",3.7
"codependent_v12_bgv_only","EWBAITE",3
"codependent_v12_inst_no_bass_no_perc","EWBAITE",3
"codependent_v12_lead_voc_only","EWBAITE",2.5
"codependent_v13","EWBAITE",4.52
"codependent_v14","EWBAITE",4.59
"codependent_v2","EWBAITE",3.8
"codependent_v3","EWBAITE",3.12
"codependent_v5","EWBAITE",3.5
"codependent_v6","EWBAITE",3.7
"codependent_v7","EWBAITE",3.62
"codependent_v8","EWBAITE",3.62
"codependent_v9","EWBAITE",4.21
"cold_and_damp_2008_edit_v3_ri3_v4_c","The Green Years",4.32
"cold_and_damp_2008_edit_v3_ri3_v4_c_2","The Green Years",4.58
"cold_and_damp_edit_2_reinsert_solo","The Green Years",4.27
"come_to_stay_aka_angel_and_the_one","The Red-Raditude-Hurley Years",3.57
"crazy_one","The Green Years",4.7
"crushing_piano_circle_of_4ths","EWBAITE",2.5
