"bundle","totalTracks"
"EWBAITE",159
"Patrick_and_Rivers",4
"Pre-Weezer",39
"The_Green_Years",49
"The_Make_Believe_Years",15
"The_Pacific_Daydream_Black_Years",14
"The_Red-Raditude-Hurley_Years",26
"The_White_Years",21
"Weezma",25
